timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.4106000000000001,63.49,0,11,21,0.5238095238095238
3395,-0.4745999999999999,64.05,1,7,20,0.35
6857,-0.4923999999999999,61.05,0,1,11,0.09090909090909091
10227,-0.5076,56.58,0,3,18,0.16666666666666666
13850,-0.4647000000000001,51.41,1,7,21,0.3333333333333333
17430,-0.47899999999999965,48.6,0,8,17,0.47058823529411764
20496,-0.47160000000000013,55.47,1,3,17,0.17647058823529413
23902,-0.47840000000000005,53.74,0,5,14,0.35714285714285715
27184,-0.4463,62.03,0,7,28,0.25
30472,-0.4415999999999998,63.83,0,6,26,0.23076923076923078
33852,-0.4673999999999999,62.94,0,1,23,0.043478260869565216
37018,-0.5324,64.5,0,0,7,0.0
40444,-0.5538000000000001,64.11,0,0,8,0.0
43756,-0.5353999999999999,60.89,2,0,24,0.0
47056,-0.5649999999999996,63.25,0,0,1,0.0
50572,-0.5496000000000002,64.7,0,0,19,0.0
53960,-0.5604000000000002,64.5,0,0,17,0.0
57382,-0.5735000000000001,68.19,0,0,17,0.0
60838,-0.5529,67.05,0,0,25,0.0
64316,-0.5745999999999999,64.76,0,0,18,0.0
67566,-0.5582999999999998,63.33,0,0,16,0.0
70762,-0.5568000000000002,61.0,1,0,16,0.0
74146,-0.5626,62.87,0,0,17,0.0
77627,-0.5490000000000002,59.94,0,0,11,0.0
81334,-0.5550000000000002,60.31,1,0,15,0.0
84638,-0.5383,61.69,0,0,14,0.0
87980,-0.5154000000000002,60.33,0,0,23,0.0
91450,-0.48819999999999986,58.17,1,0,18,0.0
94670,-0.49699999999999994,57.38,0,0,36,0.0
98006,-0.4946999999999999,60.47,0,0,30,0.0
101454,-0.478,61.85,0,0,33,0.0
104956,-0.5035000000000001,62.23,0,0,33,0.0
108520,-0.46480000000000016,56.62,0,0,18,0.0
111822,-0.47249999999999964,55.24,1,0,31,0.0
115345,-0.472,58.57,0,0,31,0.0
118739,-0.4708000000000001,56.48,0,0,20,0.0
122117,-0.46790000000000004,61.53,0,0,36,0.0
125621,-0.4551000000000001,56.71,1,0,32,0.0
128857,-0.4600999999999996,57.69,1,0,25,0.0
132151,-0.4303,57.05,2,0,35,0.0
135335,-0.42940000000000006,54.98,1,0,35,0.0
138919,-0.42859999999999987,56.26,1,0,48,0.0
142277,-0.4195,61.08,0,0,55,0.0
145661,-0.42399999999999977,56.23,1,0,62,0.0
149241,-0.45570000000000027,54.57,0,0,45,0.0
152631,-0.42390000000000005,54.65,3,0,38,0.0
156188,-0.4304999999999999,51.23,1,0,37,0.0
159272,-0.41490000000000016,56.03,2,0,53,0.0
162592,-0.3952000000000001,54.09,3,0,45,0.0
166103,-0.4481000000000001,55.22,1,0,54,0.0
169457,-0.45549999999999996,55.53,0,0,36,0.0
172879,-0.4422999999999999,56.94,0,0,36,0.0
176295,-0.43079999999999996,56.68,1,0,32,0.0
179709,-0.4201,58.28,2,0,47,0.0
183065,-0.4491000000000001,53.11,2,0,20,0.0
186471,-0.45800000000000013,60.71,0,0,54,0.0
189655,-0.446,58.63,0,0,62,0.0
193023,-0.4047,56.59,4,0,49,0.0
196269,-0.4489999999999999,52.62,0,0,38,0.0
199905,-0.44750000000000006,58.38,0,0,25,0.0
203438,-0.44810000000000033,59.79,1,0,44,0.0
206974,-0.4106000000000001,58.42,2,0,43,0.0
210456,-0.39990000000000003,59.31,3,0,61,0.0
213776,-0.4402,56.03,0,0,45,0.0
217383,-0.44439999999999996,57.76,2,0,56,0.0
220795,-0.3836,53.68,2,0,65,0.0
224377,-0.4385999999999999,62.28,0,0,73,0.0
227733,-0.41869999999999985,60.16,1,0,53,0.0
231273,-0.4408999999999999,57.71,0,0,60,0.0
234509,-0.3986999999999998,62.52,3,0,67,0.0
238011,-0.4191000000000002,58.16,2,0,57,0.0
241265,-0.41509999999999997,57.14,0,0,59,0.0
244581,-0.3759999999999999,60.32,2,0,61,0.0
248182,-0.43749999999999994,55.84,1,0,79,0.0
251586,-0.40679999999999994,59.31,2,0,46,0.0
255056,-0.37860000000000016,61.41,3,0,58,0.0
258196,-0.39370000000000005,73.54,3,0,89,0.0
261410,-0.4358999999999999,57.06,1,0,64,0.0
264776,-0.4246999999999999,60.4,0,0,74,0.0
268064,-0.41480000000000006,64.74,1,0,61,0.0
271546,-0.4354000000000001,57.73,1,0,66,0.0
274864,-0.4327,54.85,0,0,57,0.0
278153,-0.4002999999999999,55.21,2,0,56,0.0
281561,-0.4216,59.18,1,0,42,0.0
285097,-0.4154,60.92,2,0,94,0.0
288611,-0.42669999999999975,54.23,1,0,45,0.0
292015,-0.4273000000000001,57.19,0,0,68,0.0
295255,-0.3968,55.85,2,0,77,0.0
298685,-0.4054999999999998,61.38,1,0,89,0.0
302177,-0.38030000000000014,59.06,1,0,79,0.0
305397,-0.3765999999999999,68.4,2,0,73,0.0
309197,-0.38969999999999994,59.63,2,0,65,0.0
