timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.5683999999999999,16.92,0,0,1,0.0
3395,-0.5423999999999999,17.27,0,2,5,0.4
6857,-0.5586,17.4,0,0,1,0.0
10227,-0.5334,16.49,0,1,5,0.2
13850,-0.5238,16.04,0,1,7,0.14285714285714285
17430,-0.5035000000000001,14.84,0,2,4,0.5
20496,-0.5437999999999997,16.39,0,1,2,0.5
23902,-0.5650999999999998,16.01,0,0,0,0
27184,-0.5335,17.82,0,0,4,0.0
30472,-0.5431000000000001,17.24,0,0,5,0.0
33852,-0.5187999999999998,17.04,0,0,1,0.0
37018,-0.5652999999999998,17.57,0,1,2,0.5
40444,-0.5709,15.51,1,0,2,0.0
43756,-0.5763000000000001,16.92,0,0,2,0.0
47056,-0.5760000000000001,17.89,0,0,7,0.0
50572,-0.5448000000000001,17.59,0,0,2,0.0
53960,-0.5569000000000002,16.35,0,0,6,0.0
57382,-0.5835,15.7,0,0,4,0.0
60838,-0.5577,17.02,0,0,8,0.0
64316,-0.5767999999999999,16.25,0,0,4,0.0
67566,-0.5543999999999997,16.93,0,0,2,0.0
70762,-0.5624999999999999,15.86,0,0,4,0.0
74146,-0.5755000000000002,16.7,0,0,5,0.0
77627,-0.5341,17.31,0,0,3,0.0
81334,-0.5677999999999999,16.33,0,0,3,0.0
84638,-0.5641000000000002,16.03,0,0,3,0.0
87980,-0.5516000000000001,16.09,0,0,2,0.0
91450,-0.5426,16.58,0,0,2,0.0
94670,-0.49400000000000027,16.95,1,0,2,0.0
98006,-0.5093000000000001,16.57,0,0,2,0.0
101454,-0.5532999999999997,16.87,0,0,2,0.0
104956,-0.5547,16.69,0,0,4,0.0
108520,-0.5440999999999999,17.38,0,0,5,0.0
111822,-0.49340000000000006,17.16,0,0,4,0.0
115345,-0.5266999999999998,16.21,0,0,2,0.0
118739,-0.49589999999999984,17.67,0,0,8,0.0
122117,-0.49389999999999984,16.04,0,0,3,0.0
125621,-0.5203999999999999,17.55,0,0,12,0.0
128857,-0.4853000000000002,16.88,1,0,8,0.0
132151,-0.5038999999999998,16.79,0,0,5,0.0
135335,-0.5159000000000001,16.69,0,0,8,0.0
138919,-0.5119999999999998,16.83,0,0,5,0.0
142277,-0.4794,16.37,0,0,8,0.0
145661,-0.5002,19.01,0,0,21,0.0
149241,-0.4729,16.51,2,0,7,0.0
152631,-0.48789999999999994,16.79,1,0,9,0.0
156188,-0.5240000000000002,15.45,0,0,4,0.0
159272,-0.4836999999999999,16.58,0,0,12,0.0
162592,-0.4832,17.33,0,0,5,0.0
166103,-0.5135000000000001,16.54,0,0,3,0.0
169457,-0.5146000000000002,17.55,0,0,17,0.0
172879,-0.5178,16.81,0,0,7,0.0
176295,-0.4942000000000001,17.08,1,0,2,0.0
179709,-0.5042000000000001,17.07,0,0,5,0.0
183065,-0.4721000000000001,17.11,2,0,12,0.0
186471,-0.5162000000000002,16.53,0,0,4,0.0
189655,-0.5076000000000002,15.42,0,0,4,0.0
193023,-0.49729999999999996,16.16,0,0,5,0.0
196269,-0.48469999999999985,17.07,0,0,3,0.0
199905,-0.49660000000000004,16.45,0,0,2,0.0
203438,-0.5204000000000001,16.4,0,0,5,0.0
206974,-0.5006999999999998,17.14,0,0,10,0.0
210456,-0.48169999999999974,16.89,0,0,18,0.0
213776,-0.4499999999999998,16.88,0,0,16,0.0
217383,-0.45520000000000005,17.53,0,0,10,0.0
220795,-0.47989999999999994,18.4,0,0,6,0.0
224377,-0.4702000000000002,17.13,0,0,13,0.0
227733,-0.4738000000000001,17.38,0,0,14,0.0
231273,-0.48660000000000003,16.08,0,0,5,0.0
234509,-0.4888000000000001,18.35,0,0,7,0.0
238011,-0.4726000000000002,17.29,0,0,10,0.0
241265,-0.47750000000000015,17.58,0,0,9,0.0
244581,-0.4383999999999999,16.86,2,0,17,0.0
248182,-0.4955000000000001,16.71,0,0,8,0.0
251586,-0.45509999999999984,17.27,2,0,5,0.0
255056,-0.4844000000000001,16.16,0,0,10,0.0
258196,-0.5141,15.72,0,0,3,0.0
261410,-0.4666999999999999,16.94,1,0,12,0.0
264776,-0.47609999999999986,16.81,0,0,13,0.0
268064,-0.4757999999999999,15.97,0,0,8,0.0
271546,-0.4816000000000001,15.96,0,0,5,0.0
274864,-0.46179999999999993,16.33,0,0,1,0.0
278153,-0.43749999999999994,16.16,0,0,13,0.0
281561,-0.4481000000000001,17.2,1,0,7,0.0
285097,-0.46180000000000015,17.34,0,0,20,0.0
288611,-0.47150000000000014,16.37,0,0,9,0.0
292015,-0.4787000000000001,16.08,0,0,6,0.0
295255,-0.4768999999999999,16.26,0,0,16,0.0
298685,-0.4693,16.92,0,0,12,0.0
302177,-0.4636999999999998,15.83,0,0,10,0.0
305397,-0.46560000000000007,17.7,0,0,11,0.0
309197,-0.4509000000000001,17.81,0,0,19,0.0
312629,-0.4495000000000001,16.76,0,0,7,0.0
316075,-0.48040000000000005,17.25,0,0,12,0.0
319563,-0.4558000000000002,17.84,0,0,11,0.0
322989,-0.4717999999999998,16.74,0,0,12,0.0
326595,-0.48249999999999993,16.53,0,0,9,0.0
330101,-0.4516999999999999,15.8,0,0,9,0.0
333365,-0.45969999999999994,17.34,0,0,10,0.0
336799,-0.4444000000000001,15.76,2,0,10,0.0
340199,-0.4413999999999998,17.42,0,0,16,0.0
343619,-0.4713999999999999,17.03,0,0,15,0.0
347053,-0.408,15.59,1,0,10,0.0
350533,-0.4987000000000002,16.42,0,0,10,0.0
354015,-0.45250000000000007,16.54,0,0,10,0.0
357281,-0.44960000000000006,16.06,0,0,12,0.0
360767,-0.43860000000000016,16.43,0,0,9,0.0
364059,-0.4354999999999999,16.6,0,0,11,0.0
367459,-0.45130000000000003,15.91,0,0,4,0.0
